Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	6	you ca n't do that .	177	175	1	A	90, 177, 240, 264
2	2	6	mount davos to mount zermatt .	202	81	1	A	122, 202
9	9	5	how much is that ?	164	146	3	A	135, 145, 158, 164, 171, 189, 234, 270, 280
5	1	5	ca n't do that .	155	175	1	A	90, 155, 177, 240, 264
5	5	5	mount bern to mount basel	143	205	1	A	56, 143, 253, 254, 260
2	2	5	2 that 's perfect .	172	11	1	A	162, 172
2	2	5	go from mount basel to	150	125	1	A	26, 150
2	2	5	i 'll erase it .	192	145	1	A	48, 192
2	2	5	it 's your turn .	194	186	1	A	9, 194
2	2	5	mount montreux to mount neuchatel	276	106	1	A	171, 276
2	2	5	mount zurich to mount bern	232	94	1	A	139, 232
12	3	4	how much is that	197	146	3	A	135, 145, 158, 164, 171, 189, 197, 219, 226, 234, 270, 280
9	9	4	mount zermatt to mount	186	143	2	B	126, 161, 186, 187, 193, 195, 205, 212, 268
8	3	4	mount bern to mount	157	205	1	A	56, 143, 157, 238, 243, 253, 254, 260
8	3	4	n't do that .	155	186	2	A	90, 138, 155, 177, 240, 246, 264, 275
6	6	4	that 's 3 .	123	199	1	A	22, 123, 146, 198, 216, 220
4	4	4	mount luzern to mount	207	164	1	A	63, 207, 217, 226
4	2	4	mount montreux to mount	170	197	1	A	80, 170, 171, 276
4	4	4	to mount davos .	207	158	2	A	57, 195, 207, 214
4	2	4	to mount zermatt .	202	176	2	A	63, 122, 202, 238
3	1	4	mount davos to mount	202	142	2	A	61, 122, 202
3	1	4	mount zurich to mount	232	98	2	A	135, 139, 232
3	3	4	that 's 2 .	226	108	1	B	120, 226, 227
3	3	4	that 's 4 .	165	125	1	B	159, 165, 283
2	2	4	to mount neuchatel ?	276	191	1	A	86, 276
14	2	3	how much is	217	146	3	A	135, 145, 158, 164, 171, 189, 197, 217, 219, 226, 234, 252, 270, 280
12	10	3	go from mount	93	235	4	A	26, 50, 56, 61, 93, 122, 150, 171, 173, 186, 187, 260
11	3	3	do that .	155	203	3	A	90, 138, 153, 155, 177, 221, 240, 246, 264, 275, 292
