start	end	interlocutor	utterance	utterance_no
41.033	45.988	B	so , are we trying to make this shortest , or the less tight the little things ?	0
60.810	61.738	B	okay ready ?	1
62.690	63.942	B	so which one should we start ?	2
64.040	65.067	B	wait did you just do that ?	3
65.011	66.671	A	yes .	4
65.574	67.430	B	okay i'm gonna do something right .	5
70.992	71.892	B	i drag .	6
72.497	73.228	B	how do you do it ?	7
73.622	74.804	A	you drag it .	8
75.127	76.112	B	hold and drag .	9
76.464	77.125	A	yes .	10
76.775	78.759	B	it's not working for me .	11
81.150	82.487	B	wait how do you do it ?	12
85.021	86.850	A	um like , wait what ?	13
87.638	93.391	A	so you hold it , so you you have to go to where and did it and hold it to somewhere .	14
95.630	96.966	A	and then you have it .	15
97.585	98.710	B	oh there we go .	16
98.950	100.750	B	i was at something else okay .	17
101.679	102.410	A	good .	18
105.325	106.591	B	okay i just made something .	19
108.349	109.066	A	oh wait .	20
110.937	112.625	B	so i think we are trying to make	21
114.499	115.526	B	oh what ?	22
115.905	117.720	B	we're trying to make the less	23
118.508	119.380	B	um	24
120.310	121.520	B	things used .	25
121.745	122.888	A	yeah probably .	26
122.350	124.826	B	why is mine this weird , why is mine here ?	27
126.783	129.245	B	oh there , i'm doomed .	28
129.470	132.087	B	how do i make it ?	29
139.404	140.135	A	okay .	30
161.214	163.592	B	why did you do i see here ?	31
164.548	165.069	B	okay .	32
165.505	166.602	B	this does not	33
167.376	168.515	A	yes , but	34
170.374	171.401	A	um	35
170.402	171.485	B	yeah , kinda .	36
171.711	174.383	A	kinda , not really , why ?	37
175.495	176.507	A	oh , i'm back .	38
187.569	188.146	B	no .	39
189.088	192.999	B	we are not submitting our answers right now , sorry .	40
192.943	194.940	A	no , we are not done .	41
195.505	197.010	B	oh , why i'm on this .	42
199.232	201.033	B	okay i'll tap .	43
203.440	204.833	A	no .	44
203.595	204.228	B	oh .	45
204.763	205.593	B	what happened ?	46
207.072	208.943	B	why is it not doing ?	47
208.071	210.181	A	because we already have 9 out of 10 .	48
214.668	216.385	B	oh my gosh i can't go .	49
219.467	220.452	B	what am i supposed	50
222.112	222.843	B	here ?	51
223.631	224.320	B	here .	52
224.886	226.110	B	abstract view .	53
228.192	229.528	B	your friend's view .	54
233.143	234.508	B	interactive view .	55
235.607	236.001	A	look .	56
236.212	237.816	A	it says right here .	57
238.055	243.091	A	says like , the interactive view into the abstract view .	58
243.345	246.749	A	and then it has abstract view and then it says what it does .	59
245.357	246.693	B	oh yeah this	60
247.540	249.326	B	view you can not build	61
258.445	259.838	B	oh !	62
260.274	262.679	B	oh oops .	63
264.578	267.012	B	okay , now i get it , oh yeah i'm here .	64
268.378	268.983	B	okay .	65
269.391	270.094	A	wait what ?	66
270.755	272.908	B	so we need to i'm erasing these .	67
273.217	273.920	B	i'm sorry .	68
273.273	273.850	A	yeah .	69
274.147	275.244	A	yeah i'll erase it .	70
274.231	275.286	B	and we just start again .	71
275.807	277.143	A	um i don't know .	72
276.369	276.890	B	uh	73
277.636	280.379	A	so we will erase all of them entirely ?	74
279.661	280.266	B	yeah .	75
282.589	283.785	A	right now i want to erase .	76
284.911	287.372	B	i'm at the black right now so got to chill .	77
288.682	289.329	B	chill .	78
289.765	290.876	A	how do you erase ?	79
291.101	292.395	B	you just hold it .	80
293.017	295.113	B	and you get the like the little erase thingy .	81
297.012	299.431	B	wait i can't do anything until it stops ?	82
300.023	303.568	B	like when she oh so when she do something it stops for me ?	83
310.337	312.335	B	oh , seriously ?	84
313.390	315.106	B	she sees not what i see ?	85
323.577	325.926	B	wait it's not erasing for other .	86
328.504	330.782	B	oh that explains everything .	87
332.780	333.990	A	it does .	88
335.607	337.746	B	wait so her mountains are not the same ?	89
347.709	348.806	B	okay .	90
348.074	349.200	A	okay .	91
355.180	355.827	B	what ?	92
365.081	369.983	A	oh , so like when i have this you have this when i have this you have this ?	93
365.145	366.577	B	oh .	94
369.336	371.816	B	so when i have the mountains you have the black .	95
371.559	372.361	A	exactly .	96
372.107	373.584	B	when you have the mountains i have the black .	97
372.361	373.792	A	oh , okay .	98
374.514	376.329	B	that's why we have to talk , okay .	99
376.638	377.679	B	now we get it .	100
377.482	385.094	A	i think i'm gonna put um , mount zermatt to the one above it .	101
385.179	386.320	B	mount zurich ?	102
387.671	388.619	A	no like	103
