Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	i think we should go to mount zurich	24	A	99, 122
2	6	mount interlaken to mount luzern .	54	A	556, 609
2	6	no that wo n't work .	105	A	384, 488
3	5	no that wo n't work	147	A	384, 488, 530
2	5	, so should i do	270	A	210, 479
2	5	if you go to mount	2	A	475, 476
2	5	montreux to mount neuchatel .	3	A	295, 297
2	5	okay , so should i	64	A	147, 210
2	5	should i do it ?	149	A	210, 358
2	5	should i erase the one	302	A	194, 495
2	5	you want me to go	6	A	375, 380
4	4	i think we should	58	A	99, 122, 128, 156
4	4	to mount zurich .	410	A	99, 105, 322, 508
3	4	go to mount zurich	277	A	99, 122, 375
3	4	mount interlaken to mount	71	A	539, 556, 609
3	4	mount luzern to mount	34	A	398, 427, 431
3	4	should i do it	149	A	210, 279, 358
3	4	wo n't work .	281	A	384, 488, 664
2	4	2s and 3s .	4	A	748, 751
2	4	and then to mount	3	A	475, 477
2	4	luzern to mount bern	389	A	43, 431
2	4	mount basel to mount	215	A	108, 322
2	4	mount neuchatel to mount	409	A	108, 516
2	4	so it can go	5	A	336, 340
2	4	that 's 4 .	80	A	443, 522
2	4	wait which one ?	236	A	258, 493
2	4	we did n't need	5	A	514, 518
2	4	we forgot to erase	2	A	514, 515
2	4	we should finish at	34	A	128, 161
6	3	go to mount	425	A	52, 99, 122, 375, 475, 476
6	3	this one .	247	A	482, 650, 669, 721, 725, 728
6	3	to mount bern	497	A	43, 108, 340, 431, 463, 539
5	3	which one ?	452	A	258, 493, 660, 698, 709
4	3	should i erase	302	A	194, 217, 222, 495
4	3	so should i	333	A	147, 194, 210, 479
4	3	that one ?	486	A	227, 382, 552, 712
4	3	this one ?	463	A	261, 605, 719, 723
4	3	try it .	507	A	149, 369, 422, 655
4	3	we should go	24	A	99, 105, 120, 122
3	3	's 4 .	80	A	443, 450, 522
3	3	erase the one	302	A	194, 301, 495
3	3	from neuchatel to	555	A	212, 233, 766
3	3	i do n't	153	A	121, 126, 273
3	3	it can go	5	A	336, 339, 340
3	3	it wo n't	394	A	271, 273, 664
3	3	montreux to mount	33	A	265, 295, 297
3	3	mount montreux .	349	A	129, 416, 477
3	3	mount neuchatel .	9	A	289, 295, 297
3	3	mount saint gallen	402	A	105, 135, 506
3	3	neuchatel to mount	659	A	108, 516, 766
3	3	okay , so	237	A	147, 210, 383
3	3	okay and then	453	A	217, 375, 669
3	3	that 's 4	80	A	443, 447, 522
3	3	to mount luzern	183	A	427, 556, 609
3	3	to mount neuchatel	190	A	108, 295, 297
3	3	to mount zermatt	229	A	427, 476, 655
3	3	wait what ?	194	A	354, 470, 547
3	3	yeah okay .	581	A	116, 220, 696
2	3	, i 'll	60	A	423, 482
2	3	, so from	306	A	93, 398
2	3	, that 's	103	A	341, 443
2	3	7 francs .	4	A	312, 315
2	3	a full circle	77	A	540, 616
2	3	and mount neuchatel	5	A	336, 340
2	3	and then go	367	A	100, 466
2	3	and then mount	62	A	124, 185
2	3	bern and then	440	A	100, 539
2	3	come on .	18	A	626, 643
2	3	do you want	40	A	341, 380
2	3	from mount interlaken	45	A	495, 539
2	3	how much is	269	A	215, 483
2	3	how much was	51	A	138, 188
2	3	i 'll try	233	A	423, 655
2	3	i ca n't	316	A	321, 636
2	3	i think it	221	A	102, 322
2	3	it 's not	449	A	267, 715
2	3	maybe we should	6	A	409, 414
2	3	mount basel .	316	A	124, 439
2	3	mount bern .	20	A	185, 204
2	3	mount bern mount	100	A	340, 439
2	3	mount montreux to	36	A	295, 330
2	3	mount zurich ,	235	A	102, 336
2	3	mount zurich ?	159	A	217, 375
2	3	no i think	24	A	79, 102
2	3	so , from	296	A	177, 472
2	3	so from mount	264	A	135, 398
2	3	so should we	331	A	52, 382
2	3	the long one	61	A	225, 285
2	3	the one from	263	A	233, 495
2	3	then bern .	79	A	102, 180
2	3	to do it	604	A	55, 658
2	3	to mount montreux	290	A	477, 766
2	3	wait , so	75	A	398, 472
2	3	we 've swapped	13	A	28, 40
2	3	we should n't	247	A	163, 409
2	3	yeah i think	3	A	154, 156
2	3	you ca n't	364	A	293, 656
27	2	to mount	724	A	43, 52, 99, 105, 106, 108, 122, 265, 295, 297, 322, 340, 375, 398, 427, 431, 463, 475, 476, 477, 508, 516, 539, 556, 609, 655, 766
25	2	okay .	701	A	57, 97, 116, 132, 140, 181, 190, 196, 220, 229, 241, 277, 305, 360, 377, 388, 399, 433, 435, 499, 589, 623, 662, 696, 757
17	2	wait .	671	A	64, 92, 284, 408, 474, 491, 512, 530, 531, 533, 545, 560, 604, 612, 627, 718, 734
17	2	yeah .	763	A	2, 50, 95, 142, 144, 151, 174, 176, 274, 292, 309, 325, 365, 391, 421, 618, 764
15	2	and then	570	A	100, 102, 124, 185, 217, 375, 383, 466, 475, 477, 538, 539, 561, 593, 669
11	2	i think	377	A	30, 79, 99, 102, 122, 124, 128, 154, 156, 322, 406
11	2	mount bern	613	A	43, 108, 185, 204, 273, 340, 431, 439, 463, 539, 655
11	2	should i	349	A	147, 156, 194, 210, 217, 222, 279, 358, 431, 479, 495
11	2	this one	485	A	261, 482, 605, 650, 669, 719, 721, 723, 725, 728, 745
11	2	which one	540	A	222, 258, 321, 380, 493, 550, 584, 660, 698, 709, 761
10	2	go to	425	A	52, 99, 100, 102, 122, 336, 375, 466, 475, 476
9	2	, so	387	A	93, 147, 210, 246, 336, 383, 398, 472, 479
9	2	mount neuchatel	560	A	108, 206, 289, 295, 297, 336, 340, 516, 667
8	2	mount montreux	638	A	129, 295, 330, 335, 340, 416, 477, 766
7	2	it 's	625	A	91, 164, 267, 326, 450, 609, 715
7	2	mount interlaken	482	A	128, 460, 495, 516, 539, 556, 609
7	2	mount zermatt	391	A	265, 336, 340, 427, 464, 476, 655
7	2	neuchatel to	659	A	108, 212, 233, 358, 362, 516, 766
7	2	one .	504	A	225, 482, 650, 669, 721, 725, 728
7	2	the one	455	A	194, 233, 301, 495, 527, 536, 648
6	2	bern .	111	A	102, 107, 180, 185, 204, 212
6	2	from mount	405	A	135, 206, 383, 398, 495, 539
6	2	it .	529	A	149, 369, 422, 655, 658, 677
6	2	mount basel	475	A	108, 124, 180, 322, 439, 582
6	2	mount luzern	270	A	340, 398, 427, 431, 556, 609
6	2	mount saint	601	A	93, 105, 135, 506, 683, 693
6	2	that 's	200	A	341, 443, 447, 522, 527, 540
6	2	try it	507	A	149, 369, 370, 422, 634, 655
5	2	basel .	387	A	53, 100, 124, 183, 439
5	2	erase the	321	A	194, 285, 301, 495, 514
5	2	how much	497	A	138, 188, 215, 483, 634
5	2	interlaken to	153	A	457, 517, 539, 556, 609
5	2	it ?	459	A	138, 210, 215, 358, 596
5	2	montreux to	308	A	23, 265, 295, 297, 330
5	2	neuchatel .	475	A	289, 295, 297, 550, 763
5	2	zurich .	410	A	99, 105, 136, 322, 508
4	2	, mount	378	A	93, 102, 336, 470
4	2	, wait	114	A	398, 409, 470, 511
4	2	do n't	514	A	121, 126, 273, 634
4	2	from neuchatel	555	A	212, 233, 591, 766
4	2	have to	236	A	55, 245, 246, 290
4	2	montreux .	349	A	129, 362, 416, 477
4	2	no i	259	A	15, 79, 102, 273
4	2	no that	157	A	384, 488, 530, 540
4	2	so ,	380	A	93, 116, 177, 472
4	2	so from	324	A	75, 93, 135, 398
4	2	wait ,	75	A	398, 409, 423, 472
4	2	we 've	709	A	28, 40, 131, 736
4	2	what ?	203	A	345, 354, 470, 547
3	2	's not	449	A	267, 540, 715
3	2	, i	327	A	156, 423, 482
3	2	because we	622	A	128, 131, 749
3	2	do you	402	A	341, 380, 742
3	2	francs .	68	A	248, 312, 315
3	2	i 'll	233	A	423, 482, 655
3	2	interlaken .	139	A	23, 108, 161
3	2	interlaken ?	41	A	455, 456, 495
3	2	it was	381	A	322, 575, 702
3	2	luzern .	213	A	397, 556, 609
3	2	maybe we	32	A	383, 409, 414
3	2	mount ,	10	A	470, 475, 479
3	2	neuchatel ?	386	A	206, 587, 591
3	2	should we	353	A	52, 382, 404
