team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object
11	1	1	-1	0.371	0.371	R	shows	observe gesture
11	1	1	-1	0.452	0.452	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!
11	1	1	0	40.651	41.549	A	says	okay .
11	1	1	1	40.790	41.284	B	says	okay .
11	1	1	2	41.598	42.482	B	says	go to mount bern .
11	1	1	3	42.707	43.321	A	says	what ?
11	1	1	4	43.890	45.208	B	says	of you right now .
11	1	1	5	46.122	47.036	A	says	mount bern ?
11	1	1	6	47.545	48.069	B	says	yeah .
11	1	1	7	48.878	51.889	A	says	so mount bern to mount zurich ?
11	1	1	8	52.608	53.267	B	says	i don't know .
11	1	1	9	53.709	55.326	B	says	i can't do anything right now .
11	1	1	-1	54.193	54.193	R	shows	thinking gesture
11	1	1	-1	54.241	54.241	R	says	hmm, i see.
11	1	1	10	55.821	56.614	R	says	i see .
11	1	1	11	60.897	63.144	A	says	i just , so mount bern .
11	1	1	12	64.118	65.166	A	says	speak louder .
11	1	1	13	65.166	67.503	B	says	okay go , go from bern to basel .
11	1	1	14	67.533	68.327	A	says	basel .
11	1	1	-1	72.234	72.234	A	adds	Basel-Bern (0-3)
11	1	1	15	72.698	73.777	A	says	got it , and then ?
11	1	1	16	73.897	76.578	B	says	okay , then from basel to interlaken .
11	1	1	17	77.920	78.894	A	says	to where ?
11	1	1	18	78.894	79.643	B	says	interlaken .
11	1	1	19	79.868	81.830	A	says	interlaken .
11	1	1	20	80.512	81.740	B	says	it's under basel .
11	1	1	21	83.918	84.757	B	says	if you can .
11	1	1	22	86.030	87.004	A	says	no i can't .
11	1	1	23	87.007	89.898	B	says	okay then go to neuchatel , to left .
11	1	1	-1	90.995	90.995	A	adds	Basel-Neuchatel (0-7)
11	1	1	24	91.271	92.139	A	says	yeah .
11	1	1	25	91.780	93.757	B	says	okay , no
11	1	1	26	93.727	94.461	A	says	oh okay .
11	1	2	-1	96.337	96.337	A	presses	submit (disabled)
11	1	2	27	96.805	98.423	B	says	okay , i'm gonna
11	1	2	-1	99.192	99.192	R	shows	observe gesture
11	1	2	28	99.412	100.460	B	says	draw to there .
11	1	2	-1	99.685	99.685	B	adds	Montreux-Neuchatel (6-7)
11	1	2	29	101.022	102.759	A	says	to , then .
11	1	2	30	104.662	106.324	B	says	now to there , there you go .
11	1	2	-1	105.628	105.628	B	adds	Interlaken-Montreux (5-6)
11	1	2	31	109.228	109.992	A	says	okay
11	1	2	32	111.115	114.336	B	says	go from interlaken to bern and then to luzern .
11	1	2	33	114.507	119.300	A	says	i got it a different way , i got it to bern to basel to neuchatel to interlaken .
11	1	2	34	121.327	122.136	A	says	and then
11	1	2	35	123.200	124.413	A	says	mount zermatt .
11	1	2	36	126.488	127.192	A	says	wait .
11	1	3	-1	133.335	133.335	A	adds	Zermatt-Interlaken (4-5)
11	1	3	-1	136.889	136.889	A	adds	Zermatt-Davos (4-9)
11	1	3	37	137.779	138.603	B	says	okay .
11	1	3	38	139.626	143.176	B	says	i'm gonna go , i'll do that , no .
11	1	3	39	144.368	145.102	B	says	there you go .
11	1	4	-1	159.192	159.192	R	shows	thinking gesture
11	1	4	-1	159.207	159.207	R	says	hmm, i see.
11	1	4	40	160.839	161.468	R	says	i see .
11	1	4	-1	163.351	163.351	B	adds	Luzern-Davos (1-9)
11	1	4	-1	164.680	164.680	B	adds	Luzern-Bern (1-3)
11	1	4	41	165.596	170.701	B	says	and then go to , zurich and gallen saint gallen .
11	1	5	-1	169.583	169.583	A	adds	Gallen-Davos (8-9)
11	1	5	42	170.042	170.851	A	says	wait .
11	1	5	-1	171.610	171.610	A	adds	Zurich-Gallen (2-8)
11	1	6	-1	171.792	171.792	R	shows	observe gesture
11	1	6	43	172.133	181.116	R	says	guys do not hesitate to submit your solution . you can submit as many times you want .
11	1	6	-1	177.244	177.244	A	presses	submit (enabled)
11	1	6	-1	179.686	179.686	B	adds	Zurich-Bern (2-3)
11	1	6	44	180.505	182.542	A	says	i'm waiting for my friend .
11	1	6	-1	184.384	184.384	B	adds	Interlaken-Bern (5-3)
11	1	6	45	185.768	188.928	B	says	okay now go from interlaken to neuchatel .
11	1	6	46	187.685	188.464	A	says	i'm done .
11	1	6	47	190.673	192.381	B	says	okay i'm just gonna submit too .
11	1	7	-1	191.701	191.701	B	presses	submit (enabled)
11	1	7	48	191.961	192.950	A	says	but wait what ?
11	1	7	49	193.174	193.774	B	says	i'm submiting .
11	1	7	50	194.193	195.301	A	says	wait i'm not .
11	1	7	51	195.650	199.050	A	says	can't even go to oh no you can't .
11	1	7	52	197.962	200.374	B	says	i did submit i don't know , i just did it .
11	1	7	-1	200.087	200.087	A	adds	Zurich-Davos (2-9)
