team_no,attempt_no,turn_no,start,end,subject,verb,object
17,1,1,0.311,0.311,R,shows,observe gesture
17,1,1,0.376,0.376,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
17,1,1,45.060,45.060,A,adds,Luzern-Zermatt (1-4)
17,1,1,48.714,51.047,A,says,you can't get past through the other mountains right ?
17,1,1,51.533,52.636,B,says,i don't know .
17,1,1,52.454,53.467,A,says,okay .
17,1,1,54.197,54.197,R,shows,thinking gesture
17,1,1,54.232,54.232,R,says,"hmm, i see."
17,1,1,55.155,55.155,A,adds,Luzern-Bern (1-3)
17,1,1,56.132,57.033,R,says,i see .
17,1,1,65.513,69.113,I,says,so you only build from something that is already connected .
17,1,1,69.184,69.620,B,says,oh .
17,1,1,69.254,70.323,A,says,"oh , okay ."
17,1,2,75.966,75.966,B,adds,Zermatt-Davos (4-9)
17,1,2,92.752,92.752,B,adds,Gallen-Davos (8-9)
17,1,3,99.731,99.731,A,adds,Zurich-Gallen (2-8)
17,1,3,100.994,108.762,I,says,so i guess to understand better what is happening here maybe you should click the information button and read what is written .
17,1,3,106.959,106.959,A,presses,help (enabled)
17,1,3,109.070,109.070,B,presses,help (enabled)
17,1,3,109.368,111.061,I,says,do you see at the top ?
17,1,3,111.428,112.120,A,says,yeah .
17,1,3,112.338,113.837,I,says,what does it tell you ?
17,1,3,115.842,118.641,I,says,like your view and your friend's view .
17,1,3,119.317,120.287,A,says,uh okay .
17,1,3,129.379,131.630,A,says,okay so this is my view .
17,1,3,154.555,156.187,B,says,how do you go back ?
17,1,3,155.962,157.340,I,says,click on it .
17,1,3,165.369,165.369,A,adds,Basel-Zurich (0-2)
17,1,3,165.889,168.167,A,says,okay bob it's your turn .
17,1,4,174.683,174.683,B,adds,Basel-Neuchatel (0-7)
17,1,4,184.349,184.349,B,adds,Montreux-Neuchatel (6-7)
17,1,5,189.148,189.148,A,adds,Interlaken-Montreux (5-6)
17,1,5,189.371,191.945,I,says,so you guys can talk now .
17,1,5,189.425,189.425,R,shows,observe gesture
17,1,5,189.821,194.798,R,says,"guys , do not hesitate to submit your solution ."
17,1,5,195.695,199.636,R,says,you can submit as many times you want .
17,1,5,201.624,203.171,A,says,it's my turn again .
17,1,5,204.074,204.074,A,adds,Zermatt-Interlaken (4-5)
17,1,5,205.721,207.812,A,says,your turn .
17,1,5,209.748,210.787,B,says,should we submit ?
17,1,5,211.365,211.984,A,says,what ?
17,1,5,211.913,212.912,B,says,should we submit ?
17,1,5,213.221,214.262,A,says,yeah i think .
17,1,5,214.753,215.583,A,says,yeah it's good .
17,1,6,214.900,214.900,B,presses,submit (enabled)
17,1,6,216.652,217.103,A,says,yeah .
17,1,6,217.467,217.467,A,presses,submit (enabled)
17,1,6,217.574,217.574,T,submits,cost=31 (opt_cost=22)
17,1,6,217.785,217.785,R,shows,up_left gesture
17,1,6,217.785,217.785,R,shows,talking emotion
17,1,6,217.865,217.865,R,says,you are away from the minimum by 9 francs. let's try again.
17,1,6,218.274,221.387,R,says,you are away from the minimum by 9 francs .
17,1,6,222.438,223.691,R,says,let's try again .
17,1,6,224.170,224.170,R,shows,talking emotion
17,1,6,224.171,224.171,R,shows,point_front gesture
17,1,6,224.268,224.268,R,says,"by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions."
17,1,6,224.915,228.438,R,says,"by the way , you guys now also have a button"
17,1,6,229.259,234.915,R,says,on the bottom of the screen in the abstract view for comparing solutions .
17,1,6,236.418,237.741,I,says,um that green button .
17,1,6,238.134,238.852,A,says,okay .
17,2,6,238.198,238.198,A,presses,compare (enabled)
17,2,6,239.218,241.482,I,says,so this is your previous solution .
17,2,6,246.319,247.009,A,says,okay .
17,2,6,247.515,248.190,B,says,um
17,2,6,250.679,252.470,A,says,"okay your turn , bob ."
17,2,6,251.535,251.535,B,adds,Zermatt-Davos (4-9)
17,2,6,255.242,256.621,A,says,that's 3 .
17,2,6,260.783,260.783,B,adds,Gallen-Davos (8-9)
17,2,6,261.993,263.484,A,says,yeah okay .
17,2,7,269.403,269.403,A,adds,Zurich-Gallen (2-8)
17,2,7,278.968,278.968,A,adds,Luzern-Zurich (1-2)
17,2,8,279.197,279.197,R,shows,observe gesture
17,2,8,281.368,282.282,A,says,okay .
17,2,8,286.852,286.852,B,adds,Luzern-Bern (1-3)
17,2,8,292.300,292.300,B,adds,Basel-Bern (0-3)
17,2,8,292.988,294.634,A,says,yeah okay .
17,2,9,298.260,298.260,A,adds,Basel-Neuchatel (0-7)
17,2,9,303.606,303.606,A,removes,Basel-Neuchatel (0-7)
17,2,9,311.630,319.037,A,says,"it's better to go from mount basel to mount interlaken because that costs less money , i think ."
17,2,10,323.899,323.899,B,adds,Basel-Neuchatel (0-7)
17,2,10,326.706,326.706,B,adds,Interlaken-Neuchatel (5-7)
17,2,10,328.561,330.179,A,says,"okay , uh ."
17,2,11,332.663,332.663,A,adds,Interlaken-Montreux (5-6)
17,2,11,336.592,336.592,A,adds,Zermatt-Montreux (4-6)
17,2,11,339.136,342.456,A,says,"i think that cost less , then last time ."
17,2,11,342.821,344.143,B,says,"um yeah , let's submit ."
17,2,11,344.354,345.254,A,says,yeah .
17,2,12,344.659,344.659,A,presses,submit (enabled)
17,2,12,344.875,344.875,T,submits,cost=29 (opt_cost=22)
17,2,12,345.032,345.032,B,presses,submit (enabled)
17,2,12,345.106,345.106,R,shows,talking emotion
17,2,12,345.110,345.110,R,shows,up_left gesture
17,2,12,345.195,345.195,R,says,you are not that far from the minimum; the difference is only 7 francs. i am sure you can do it.
17,2,12,345.690,351.072,R,says,"you are not that far from the minimum , the difference is only 7 francs ."
17,2,12,351.944,353.560,R,says,i am sure you can do it .
