team_no	utterance_no	token_no	start	end	interlocutor	utterance	token
20	0	0	41.587	42.194	A	okay .	okay
20	0	1	41.587	42.194	A	okay .	.
20	1	2	43.838	47.343	A	so i guess we have to connect all these with the .	so
20	1	3	43.838	47.343	A	so i guess we have to connect all these with the .	i
20	1	4	43.838	47.343	A	so i guess we have to connect all these with the .	guess
20	1	5	43.838	47.343	A	so i guess we have to connect all these with the .	we
20	1	6	43.838	47.343	A	so i guess we have to connect all these with the .	have
20	1	7	43.838	47.343	A	so i guess we have to connect all these with the .	to
20	1	8	43.838	47.343	A	so i guess we have to connect all these with the .	connect
20	1	9	43.838	47.343	A	so i guess we have to connect all these with the .	all
20	1	10	43.838	47.343	A	so i guess we have to connect all these with the .	these
20	1	11	43.838	47.343	A	so i guess we have to connect all these with the .	with
20	1	12	43.838	47.343	A	so i guess we have to connect all these with the .	the
20	1	13	43.838	47.343	A	so i guess we have to connect all these with the .	.
20	2	14	47.774	49.958	B	um do we , how many .	um
20	2	15	47.774	49.958	B	um do we , how many .	do
20	2	16	47.774	49.958	B	um do we , how many .	we
20	2	17	47.774	49.958	B	um do we , how many .	,
20	2	18	47.774	49.958	B	um do we , how many .	how
20	2	19	47.774	49.958	B	um do we , how many .	many
20	2	20	47.774	49.958	B	um do we , how many .	.
20	3	21	51.957	52.982	A	oh .	oh
20	3	22	51.957	52.982	A	oh .	.
20	4	23	57.510	59.302	B	so we have n't even done anything .	so
20	4	24	57.510	59.302	B	so we have n't even done anything .	we
20	4	25	57.510	59.302	B	so we have n't even done anything .	have
20	4	26	57.510	59.302	B	so we have n't even done anything .	n't
20	4	27	57.510	59.302	B	so we have n't even done anything .	even
20	4	28	57.510	59.302	B	so we have n't even done anything .	done
20	4	29	57.510	59.302	B	so we have n't even done anything .	anything
20	4	30	57.510	59.302	B	so we have n't even done anything .	.
20	5	31	60.152	61.230	B	have you done anything ?	have
20	5	32	60.152	61.230	B	have you done anything ?	you
20	5	33	60.152	61.230	B	have you done anything ?	done
20	5	34	60.152	61.230	B	have you done anything ?	anything
20	5	35	60.152	61.230	B	have you done anything ?	?
20	6	36	61.756	62.201	A	no .	no
20	6	37	61.756	62.201	A	no .	.
20	7	38	63.162	67.225	B	so , how many ten circles and zero .	so
20	7	39	63.162	67.225	B	so , how many ten circles and zero .	,
20	7	40	63.162	67.225	B	so , how many ten circles and zero .	how
20	7	41	63.162	67.225	B	so , how many ten circles and zero .	many
20	7	42	63.162	67.225	B	so , how many ten circles and zero .	ten
20	7	43	63.162	67.225	B	so , how many ten circles and zero .	circles
20	7	44	63.162	67.225	B	so , how many ten circles and zero .	and
20	7	45	63.162	67.225	B	so , how many ten circles and zero .	zero
20	7	46	63.162	67.225	B	so , how many ten circles and zero .	.
20	8	47	67.832	68.856	B	minuses .	minuses
20	8	48	67.832	68.856	B	minuses .	.
20	9	49	77.274	78.056	B	i 'm just gon na .	i
20	9	50	77.274	78.056	B	i 'm just gon na .	'm
20	9	51	77.274	78.056	B	i 'm just gon na .	just
20	9	52	77.274	78.056	B	i 'm just gon na .	gon
20	9	53	77.274	78.056	B	i 'm just gon na .	na
20	9	54	77.274	78.056	B	i 'm just gon na .	.
20	10	55	79.054	79.472	A	uh	uh
20	11	56	80.065	80.402	A	uh	uh
20	12	57	80.590	81.332	B	oh there .	oh
20	12	58	80.590	81.332	B	oh there .	there
20	12	59	80.590	81.332	B	oh there .	.
