team_no	attempt_no	turn_no	utterance_no	start	end	subject	verb	object	instructions	pending_instructions	matching
8	1	1	-1	0.386	0.386	R	shows	observe gesture	[]	[]	[]
8	1	1	-1	0.483	0.483	R	says	so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!	[]	[]	[]
8	1	1	0	41.033	45.988	B	says	so , are we trying to make this shortest , or the less tight the little things ?	[]	[]	[]
8	1	1	-1	53.855	53.855	R	shows	thinking gesture	[]	[]	[]
8	1	1	-1	53.895	53.895	R	says	hmm, i see.	[]	[]	[]
8	1	1	1	60.810	61.738	B	says	okay ready ?	[]	[]	[]
8	1	1	2	62.690	63.942	B	says	so which one should we start ?	[]	[]	[]
8	1	1	-1	62.703	62.703	A	adds	Luzern-Bern (1-3)	[]	[]	[DO_A(ADD(1, 3)), NONMATCH_A(DO_A(ADD(1, 3)))]
8	1	1	3	64.040	65.067	B	says	wait did you just do that ?	[]	[]	[]
8	1	1	4	65.011	66.671	A	says	yes .	[]	[]	[]
8	1	1	5	65.574	67.430	B	says	okay i'm gonna do something right .	[]	[]	[]
8	1	1	6	70.992	71.892	B	says	i drag .	[]	[]	[]
8	1	1	7	72.497	73.228	B	says	how do you do it ?	[]	[]	[]
8	1	1	8	73.622	74.804	A	says	you drag it .	[]	[]	[]
8	1	1	9	75.127	76.112	B	says	hold and drag .	[]	[]	[]
8	1	1	10	76.464	77.125	A	says	yes .	[]	[]	[]
8	1	1	11	76.775	78.759	B	says	it's not working for me .	[]	[]	[]
8	1	1	12	81.150	82.487	B	says	wait how do you do it ?	[]	[]	[]
8	1	1	13	82.719	84.786	I	says	so can you make one more ?	[]	[]	[]
8	1	1	14	85.021	86.850	A	says	um like , wait what ?	[]	[]	[]
8	1	1	15	87.638	93.391	A	says	so you hold it , so you you have to go to where and did it and hold it to somewhere .	[]	[]	[]
8	1	1	16	93.630	97.107	I	says	yeah then release it now uh yeah .	[]	[]	[]
8	1	1	-1	95.566	95.566	A	adds	Luzern-Zurich (1-2)	[]	[]	[DO_A(ADD(1, 2)), NONMATCH_A(DO_A(ADD(1, 2)))]
8	1	2	17	95.630	96.966	A	says	and then you have it .	[]	[]	[]
8	1	2	18	97.585	98.710	B	says	oh there we go .	[]	[]	[]
8	1	2	-1	98.855	98.855	R	shows	observe gesture	[]	[]	[]
8	1	2	19	98.950	100.750	B	says	i was at something else okay .	[]	[]	[]
8	1	2	20	101.679	102.410	A	says	good .	[]	[]	[]
8	1	2	-1	105.063	105.063	B	adds	Zurich-Gallen (2-8)	[]	[]	[DO_B(ADD(2, 8)), NONMATCH_B(DO_B(ADD(2, 8)))]
8	1	2	21	105.325	106.591	B	says	okay i just made something .	[]	[]	[]
8	1	2	22	108.349	109.066	A	says	oh wait .	[]	[]	[]
8	1	2	23	110.937	112.625	B	says	so i think we are trying to make	[]	[]	[]
8	1	2	-1	110.953	110.953	B	adds	Gallen-Davos (8-9)	[]	[]	[DO_B(ADD(8, 9)), NONMATCH_B(DO_B(ADD(8, 9)))]
8	1	3	-1	113.696	113.696	B	presses	help (enabled)	[]	[]	[]
8	1	3	24	114.499	115.526	B	says	oh what ?	[]	[]	[]
8	1	3	25	115.905	117.720	B	says	we're trying to make the less	[]	[]	[]
8	1	3	-1	118.452	118.452	A	adds	Basel-Bern (0-3)	[]	[]	[DO_A(ADD(0, 3)), NONMATCH_A(DO_A(ADD(0, 3)))]
