Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	go from mount davos to mount zurich	3	B	539, 541
2	7	you can just go like that .	29	B	164, 192
2	6	check so we can restart .	7	B	301, 307
2	6	mount interlaken to mount bern .	144	B	356, 499
2	6	we have to do small ones	6	B	464, 469
3	5	it is not working .	51	B	3, 44, 53
3	5	okay where do i go	72	B	495, 533, 566
2	5	and then go to mount	5	B	504, 508
2	5	i ca n't do a	6	B	137, 142
2	5	i do n't know .	15	B	189, 203
2	5	just go to mount bern	3	B	576, 578
2	5	the minimum is 22 .	3	B	457, 459
2	5	then where do i go	51	B	483, 533
2	5	where do i go ?	13	B	483, 495
2	5	you 're gon na see	2	B	186, 187
7	4	i do n't know	385	B	83, 96, 189, 199, 203, 237, 467
4	4	mount davos to mount	283	B	259, 317, 539, 541
4	4	we have to do	286	B	294, 464, 469, 579
3	4	i ca n't do	64	B	137, 142, 200
3	4	i go to mount	36	B	284, 286, 319
3	4	okay press check .	270	B	333, 549, 602
3	4	the minimum is 22	6	B	457, 459, 462
3	4	then go to mount	5	B	504, 507, 508
3	4	to mount bern .	221	B	356, 499, 576
2	4	, okay okay okay	254	B	280, 533
2	4	go to mount davos	224	B	284, 507
2	4	go to mount luzern	114	B	286, 399
2	4	i am telling you	2	B	183, 184
2	4	i ca n't .	4	B	143, 146
2	4	just press check .	404	B	201, 604
2	4	mount zermatt okay .	56	B	272, 327
2	4	neither just all connected	3	B	81, 83
2	4	so we have to	387	B	75, 461
2	4	there we go .	31	B	118, 148
2	4	to mount luzern ?	74	B	286, 359
2	4	to mount zurich .	223	B	319, 541
2	4	we connected everything .	3	B	65, 67
2	4	we need to connect	6	B	33, 38
2	4	what do i do	241	B	7, 247
12	3	go to mount	344	B	235, 266, 284, 286, 319, 399, 408, 504, 507, 508, 576, 578
10	3	i do n't	450	B	18, 50, 83, 96, 189, 199, 203, 210, 237, 467
8	3	just check .	353	B	168, 170, 172, 174, 312, 512, 514, 520
7	3	we have to	505	B	75, 294, 303, 461, 464, 469, 579
6	3	do i go	525	B	42, 284, 483, 495, 533, 566
6	3	i ca n't	187	B	14, 137, 142, 143, 146, 200
6	3	press check .	404	B	201, 333, 370, 549, 602, 604
4	3	i understand .	101	B	6, 38, 104, 106
4	3	to mount zurich	223	B	319, 345, 539, 541
3	3	go like that	85	B	108, 164, 192
3	3	just press check	404	B	201, 307, 604
3	3	like that .	293	B	164, 192, 456
3	3	so we have	387	B	75, 268, 461
3	3	there we go	47	B	118, 148, 164
3	3	to do it	253	B	42, 44, 294
3	3	to mount zermatt	274	B	231, 259, 504
3	3	we connected everything	8	B	60, 65, 67
3	3	we need to	523	B	33, 38, 555
3	3	you go .	181	B	16, 195, 196
2	3	, and then	252	B	108, 359
2	3	, okay .	259	B	4, 262
2	3	, yes ,	80	B	164, 243
2	3	, you go	432	B	108, 539
2	3	a lot .	354	B	70, 423
2	3	all connected .	14	B	81, 94
2	3	and i go	35	B	378, 412
2	3	and you go	164	B	196, 359
2	3	do this .	51	B	161, 211
2	3	have to go	143	B	256, 398
2	3	how do i	98	B	42, 139
2	3	i did n't	298	B	146, 443
2	3	i go from	60	B	353, 412
2	3	i have to	35	B	256, 290
2	3	i think .	236	B	244, 479
2	3	it 's not	245	B	48, 292
2	3	it , to	12	B	33, 44
2	3	just put check	3	B	299, 301
2	3	let 's hope	17	B	402, 418
2	3	mount davos .	235	B	273, 507
2	3	mount interlaken ?	45	B	231, 275
2	3	mount luzern .	70	B	330, 399
2	3	mount montreux .	28	B	380, 407
2	3	mount saint gallen	50	B	508, 557
2	3	mount zermatt .	177	B	328, 504
2	3	now it 's	19	B	55, 73
2	3	oh my god	139	B	19, 157
2	3	oh yeah .	85	B	368, 452
2	3	okay okay okay	254	B	280, 533
2	3	okay yeah .	273	B	111, 383
2	3	or not ?	274	B	11, 284
2	3	so i go	35	B	319, 353
2	3	sorry sorry sorry	4	B	280, 283
2	3	that 's bad	266	B	202, 467
2	3	the eraser .	120	B	18, 137
2	3	to mount .	344	B	235, 578
2	3	to where ?	24	B	568, 591
2	3	wait what ?	224	B	79, 302
2	3	wait what what	170	B	388, 557
2	3	wasting money .	4	B	153, 156
2	3	yeah and then	388	B	117, 504
2	3	yes , okay	98	B	183, 280
2	3	you 've said	67	B	403, 469
20	2	okay .	596	B	4, 127, 131, 242, 251, 262, 272, 317, 321, 327, 336, 369, 373, 501, 503, 536, 558, 571, 588, 599
18	2	check .	484	B	121, 168, 170, 172, 174, 201, 277, 312, 333, 370, 419, 510, 512, 514, 520, 549, 602, 604
14	2	i do	465	B	3, 7, 18, 50, 83, 96, 189, 199, 203, 210, 237, 247, 385, 467
13	2	and then	471	B	108, 117, 161, 270, 299, 307, 325, 359, 432, 483, 504, 508, 578
13	2	go to	344	B	235, 266, 284, 286, 319, 398, 399, 408, 504, 507, 508, 576, 578
12	2	do n't	450	B	18, 24, 50, 83, 96, 107, 189, 199, 203, 210, 237, 467
12	2	i go	525	B	42, 284, 286, 319, 353, 359, 378, 412, 483, 495, 533, 566
11	2	have to	505	B	75, 256, 290, 294, 303, 398, 461, 464, 469, 537, 579
11	2	yeah .	390	B	63, 108, 111, 188, 266, 310, 345, 361, 368, 383, 452
10	2	we have	505	B	75, 268, 294, 303, 461, 464, 467, 469, 555, 579
9	2	it 's	518	B	48, 55, 73, 88, 215, 292, 455, 474, 565
9	2	this is	461	B	19, 87, 153, 209, 244, 397, 410, 434, 479
8	2	alright .	510	B	71, 149, 264, 283, 315, 358, 405, 580
8	2	ca n't	290	B	14, 137, 142, 143, 146, 147, 200, 303
8	2	go .	518	B	16, 118, 148, 195, 196, 443, 488, 533
8	2	mount davos	283	B	259, 273, 284, 317, 328, 507, 539, 541
8	2	n't know	385	B	83, 96, 189, 199, 203, 237, 443, 467
8	2	that 's	370	B	98, 164, 180, 202, 269, 423, 437, 467
8	2	to do	538	B	42, 44, 94, 294, 350, 464, 469, 579
8	2	you go	524	B	16, 108, 116, 195, 196, 266, 359, 539
6	2	like that	365	B	92, 108, 164, 192, 197, 456
6	2	mount bern	247	B	332, 356, 359, 499, 576, 578
6	2	mount luzern	297	B	286, 330, 359, 399, 412, 582
6	2	oh we	542	B	38, 60, 303, 313, 553, 579
6	2	so we	387	B	75, 268, 301, 307, 428, 461
6	2	wait what	480	B	78, 79, 302, 365, 388, 557
6	2	what ?	359	B	30, 46, 79, 302, 385, 388
5	2	, i	284	B	125, 146, 184, 244, 408
5	2	do it	538	B	42, 44, 294, 350, 579
5	2	it is	213	B	3, 44, 53, 183, 215
5	2	mount interlaken	269	B	231, 275, 356, 408, 499
5	2	need to	523	B	33, 38, 94, 344, 555
5	2	okay yeah	442	B	38, 100, 111, 383, 479
5	2	that was	384	B	177, 181, 414, 467, 560
5	2	the eraser	129	B	18, 137, 139, 144, 146
5	2	understand .	101	B	6, 38, 50, 104, 106
4	2	all connected	14	B	81, 83, 92, 94
4	2	did n't	451	B	40, 146, 443, 490
4	2	from mount	210	B	332, 408, 539, 541
4	2	gon na	355	B	183, 186, 187, 537
4	2	here ?	134	B	114, 218, 228, 247
4	2	i think	448	B	32, 58, 244, 479
4	2	i understand	101	B	6, 38, 104, 106
4	2	is not	68	B	3, 44, 53, 70
4	2	it .	380	B	200, 299, 349, 579
4	2	let 's	319	B	100, 125, 402, 418
4	2	mount montreux	189	B	380, 407, 408, 568
4	2	n't do	177	B	24, 137, 142, 200
4	2	not working	51	B	3, 44, 48, 53
4	2	oh ,	405	B	4, 16, 55, 408
4	2	oh yeah	398	B	55, 211, 368, 452
4	2	okay press	438	B	165, 333, 549, 602
4	2	that .	297	B	160, 164, 192, 456
4	2	the minimum	18	B	445, 457, 459, 462
4	2	to go	300	B	256, 398, 443, 555
4	2	we can	97	B	211, 299, 301, 307
4	2	working .	53	B	3, 44, 53, 55
4	2	yes ,	117	B	164, 183, 243, 280
3	2	, and	271	B	108, 359, 378
3	2	, just	17	B	563, 576, 579
3	2	, oh	226	B	55, 157, 280
3	2	and you	164	B	196, 197, 359
3	2	connected .	502	B	81, 94, 582
3	2	do you	355	B	11, 157, 365
3	2	fine .	33	B	565, 595, 597
3	2	how do	98	B	42, 134, 139
3	2	i am	174	B	11, 183, 184
3	2	i did	327	B	117, 146, 443
3	2	i know	245	B	106, 211, 350
3	2	just do	276	B	304, 432, 579
3	2	just put	135	B	167, 299, 301
3	2	know .	286	B	189, 203, 474
3	2	like the	176	B	35, 37, 210
3	2	mount neuchatel	326	B	266, 482, 591
3	2	n't .	107	B	40, 143, 146
3	2	neuchatel ?	136	B	347, 391, 482
3	2	now .	83	B	83, 119, 165
3	2	now ?	560	B	7, 134, 566
3	2	oh .	376	B	123, 254, 498
3	2	oh i	340	B	104, 290, 443
3	2	okay ,	195	B	184, 262, 378
3	2	okay so	202	B	256, 319, 457
3	2	okay we	262	B	294, 299, 555
3	2	put check	5	B	299, 301, 303
3	2	to connect	43	B	33, 38, 75
3	2	we did	281	B	313, 490, 593
3	2	we were	105	B	449, 454, 553
3	2	weird .	278	B	19, 98, 296
3	2	what do	359	B	7, 247, 365
3	2	where ?	214	B	378, 568, 591
3	2	yeah but	376	B	53, 129, 428
3	2	yeah i	312	B	38, 211, 349
3	2	yeah that	503	B	58, 269, 560
3	2	yeah we	28	B	38, 40, 65
3	2	you just	327	B	197, 199, 523
2	2	's a	337	B	87, 423
2	2	, because	121	B	44, 164
2	2	, it	213	B	3, 215
2	2	, mount	33	B	380, 412
2	2	, no	145	B	153, 297
2	2	, the	283	B	146, 428
2	2	and we	80	B	449, 528
2	2	connect it	458	B	33, 490
2	2	do ,	58	B	247, 304
2	2	do something	341	B	200, 540
2	2	do we	102	B	33, 134
2	2	erase it	41	B	200, 240
2	2	fine ,	381	B	153, 533
2	2	go ,	48	B	117, 164
2	2	go mount	141	B	359, 499
2	2	good .	22	B	181, 202
2	2	hard .	226	B	209, 434
2	2	i 'll	416	B	125, 540
2	2	i just	272	B	137, 408
2	2	is the	350	B	96, 445
2	2	it i	2	B	349, 350
2	2	know how	233	B	211, 443
2	2	know what	268	B	83, 350
2	2	last answer	2	B	447, 448
2	2	left .	439	B	117, 555
2	2	like gray	30	B	15, 44
2	2	mount basel	44	B	345, 388
2	2	my screen	30	B	15, 44
2	2	no !	226	B	190, 415
2	2	no ,	516	B	24, 539
2	2	no no	250	B	24, 273
2	2	no that	258	B	180, 437
