Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	6	go to mount saint gallen .	508	145	2	A	364, 395, 508
2	2	6	mount montreux , mount montreux .	380	114	1	A	267, 380
6	3	5	to mount saint gallen .	508	251	5	A	258, 287, 316, 364, 395, 508
3	3	5	from mount davos to mount	559	21	2	B	539, 541, 559
3	3	5	mount davos to mount zermatt	559	329	1	B	259, 559, 587
3	3	5	you 're gon na see	186	13	1	A	175, 186, 187
2	2	5	and now go to mount	263	29	1	B	235, 263
2	2	5	go to mount bern .	576	196	1	A	381, 576
2	2	5	go to mount davos .	507	91	1	A	417, 507
2	2	5	go to mount zermatt .	504	105	1	A	400, 504
2	2	5	go to mount zurich .	319	57	1	A	263, 319
2	2	5	mount bern to mount luzern	411	53	1	B	359, 411
2	2	5	we need to connect everything	38	5	1	A	34, 38
9	4	4	mount davos to mount	259	330	1	A	258, 259, 287, 316, 317, 539, 541, 559, 587
7	6	4	mount bern to mount	411	189	1	B	359, 411, 413, 473, 500, 546, 547
6	4	4	to mount davos .	507	170	2	A	417, 492, 507, 535, 556, 586
5	3	4	go to mount davos	284	250	1	A	258, 284, 417, 491, 507
5	5	4	mount basel to mount	346	254	1	B	345, 346, 387, 480, 598
5	3	4	to mount bern .	381	243	1	B	356, 381, 499, 576, 598
5	3	4	to mount zurich .	343	279	1	A	263, 319, 343, 500, 541
4	4	4	, go to mount	408	92	1	A	400, 408, 413, 491
4	2	4	go to mount bern	576	198	2	A	381, 413, 576, 578
4	4	4	i ca n't do	137	110	1	A	91, 137, 142, 200
4	4	4	just press check .	489	404	1	B	201, 489, 581, 604
4	2	4	to mount zermatt .	559	188	1	A	400, 504, 559, 587
4	3	4	we need to connect	34	9	1	B	33, 34, 38, 41
3	1	4	, mount montreux .	380	114	2	A	267, 379, 380
3	3	4	to mount luzern .	411	104	1	B	399, 411, 502
2	2	4	basel to mount zurich	345	3	1	A	343, 345
2	2	4	do n't submit .	26	3	1	B	24, 26
2	2	4	from mount interlaken .	477	70	1	B	408, 477
2	2	4	go back to do	43	2	1	B	42, 43
2	2	4	go to mount .	308	74	1	B	235, 308
2	2	4	i do not understand	5	3	1	B	3, 5
