Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	, i 've got it ,	50	A	130, 179
2	5	go to mount davos to	7	A	182, 188
2	5	right now we 're at	53	A	446, 498
2	5	we 're at 17 .	5	A	367, 371
4	4	i 'm gon na	279	A	81, 168, 284, 359
3	4	i 've got it	372	A	130, 179, 501
3	4	i 've got ten	65	A	117, 171, 181
3	4	i ca n't .	325	A	21, 343, 345
2	4	, i 've got	50	A	130, 179
2	4	go to zurich .	147	A	307, 453
2	4	i 'm going to	7	A	54, 60
2	4	i do n't wanna	39	A	106, 144
2	4	i told you we	294	A	114, 407
2	4	mount davos to luzern	95	A	188, 282
2	4	okay , my turn	183	A	357, 539
2	4	our best was 24	70	A	290, 359
2	4	we 're at ,	60	A	446, 505
2	4	we will be at	265	A	186, 450
2	4	where do i go	62	A	257, 318
14	3	we 're at	319	A	214, 367, 371, 398, 400, 427, 446, 461, 471, 498, 505, 511, 526, 532
9	3	i 've got	385	A	117, 122, 130, 158, 171, 179, 181, 203, 501
5	3	ca n't .	325	A	21, 48, 128, 343, 345
5	3	i ca n't	484	A	21, 278, 343, 345, 504
5	3	to zurich .	243	A	211, 259, 301, 307, 453
4	3	go to mount	154	A	182, 188, 235, 335
4	3	i do n't	242	A	106, 144, 337, 347
4	3	to bern .	311	A	126, 144, 308, 436
4	3	to luzern .	314	A	188, 276, 278, 501
3	3	, i 've	375	A	130, 179, 504
3	3	gon na do	79	A	90, 138, 168
3	3	got it ,	166	A	14, 130, 179
3	3	i told you	294	A	114, 247, 407
3	3	my turn .	228	A	312, 411, 539
3	3	saint gallen to	100	A	177, 179, 276
3	3	so wait .	456	A	67, 445, 522
3	3	wait i 'm	238	A	47, 170, 284
3	3	we have to	220	A	254, 441, 473
2	3	, and i	7	A	100, 106
2	3	, and then	390	A	14, 403
2	3	, go to	43	A	392, 434
2	3	and we will	35	A	450, 484
2	3	basel to zurich	313	A	211, 523
2	3	bern to basel	292	A	32, 323
2	3	bern to mount	94	A	7, 100
2	3	do it this	390	A	90, 479
2	3	do more .	6	A	109, 114
2	3	do that .	379	A	106, 484
2	3	go to bern	291	A	144, 434
2	3	go to zermatt	16	A	380, 395
2	3	got it to	470	A	32, 501
2	3	i 'm not	291	A	47, 337
2	3	i can do	174	A	109, 282
2	3	mount basel to	189	A	335, 523
2	3	mount bern to	253	A	7, 259
2	3	neuchatel to interlaken	386	A	32, 417
2	3	oh my goodness	183	A	64, 246
2	3	oh okay .	485	A	25, 509
2	3	okay um .	40	A	390, 429
2	3	okay wait .	131	A	141, 271
2	3	saint gallen .	62	A	213, 274
2	3	so mount bern	4	A	7, 10
2	3	start again .	13	A	81, 93
2	3	that cost ?	7	A	418, 424
2	3	the circle .	3	A	168, 170
2	3	to bern to	69	A	32, 100
2	3	to mount basel	34	A	335, 368
2	3	to neuchatel to	220	A	32, 251
2	3	to zermatt .	199	A	182, 380
2	3	two more .	84	A	181, 264
2	3	um go to	16	A	380, 395
2	3	wait , i	74	A	168, 241
2	3	wait wait wait	3	A	168, 170
2	3	wait what ?	80	A	45, 124
2	3	we start again	12	A	82, 93
2	3	we were at	2	A	163, 164
2	3	we were price	2	A	207, 208
27	2	okay .	539	A	0, 25, 76, 96, 98, 99, 135, 161, 166, 192, 195, 201, 220, 222, 239, 245, 315, 364, 370, 373, 405, 417, 420, 456, 509, 510, 538
17	2	go to	428	A	48, 144, 182, 188, 235, 278, 297, 307, 335, 380, 392, 395, 433, 434, 450, 453, 475
16	2	we 're	329	A	204, 214, 367, 371, 398, 400, 427, 446, 461, 471, 473, 498, 505, 511, 526, 532
15	2	're at	319	A	214, 367, 371, 379, 398, 400, 427, 446, 461, 471, 498, 505, 511, 526, 532
13	2	wait .	493	A	35, 40, 62, 67, 141, 154, 175, 271, 445, 502, 516, 522, 527
12	2	i 'm	319	A	41, 43, 47, 54, 60, 81, 138, 168, 170, 284, 337, 359
11	2	've got	385	A	117, 122, 130, 158, 165, 171, 179, 181, 203, 228, 501
11	2	i 've	399	A	106, 117, 122, 130, 158, 171, 179, 181, 203, 501, 504
9	2	and then	390	A	14, 33, 50, 117, 216, 226, 261, 319, 403
8	2	, i	473	A	32, 130, 168, 179, 241, 251, 337, 504
8	2	to mount	362	A	7, 100, 182, 188, 235, 296, 335, 368
7	2	ca n't	484	A	21, 48, 128, 278, 343, 345, 504
7	2	saint gallen	301	A	177, 179, 213, 228, 274, 276, 477
6	2	i do	242	A	106, 144, 146, 337, 339, 347
6	2	zurich .	243	A	211, 259, 298, 301, 307, 453
5	2	basel to	492	A	32, 211, 335, 436, 523
5	2	bern .	427	A	10, 126, 144, 308, 436
5	2	got it	488	A	14, 32, 130, 179, 501
5	2	luzern .	314	A	188, 276, 278, 341, 501
5	2	no .	442	A	72, 103, 330, 465, 513
5	2	okay ,	266	A	274, 357, 397, 409, 539
5	2	okay so	312	A	211, 221, 335, 453, 522
5	2	yeah .	381	A	23, 70, 232, 382, 403
4	2	, we	238	A	247, 371, 473, 484
4	2	and we	392	A	93, 367, 450, 484
4	2	do it	390	A	90, 181, 319, 479
4	2	do that	384	A	106, 424, 484, 489
4	2	francs .	123	A	333, 407, 431, 455
4	2	have to	220	A	254, 429, 441, 473
4	2	how many	396	A	122, 418, 471, 517
4	2	it 's	199	A	233, 339, 411, 431
4	2	mount bern	255	A	5, 7, 10, 259
4	2	mount davos	101	A	182, 188, 228, 282
4	2	neuchatel to	392	A	32, 251, 417, 423
4	2	right now	377	A	122, 158, 446, 498
4	2	the circle	55	A	146, 168, 170, 200
4	2	then we	155	A	165, 186, 214, 319
4	2	to interlaken	419	A	32, 357, 417, 450
4	2	to zermatt	305	A	182, 380, 395, 486
4	2	zermatt .	467	A	34, 182, 380, 500
3	2	, okay	259	A	99, 335, 357
3	2	at ,	93	A	413, 446, 505
3	2	basel .	356	A	13, 323, 368
3	2	do i	173	A	146, 257, 318
3	2	i can	396	A	109, 282, 504
3	2	i go	79	A	257, 318, 335
3	2	it .	414	A	91, 319, 504
3	2	look at	236	A	284, 413, 519
3	2	okay wait	144	A	141, 271, 284
3	2	our best	72	A	288, 290, 359
3	2	submit .	290	A	108, 111, 397
3	2	submit it	9	A	83, 85, 91
3	2	that .	381	A	106, 484, 486
3	2	that cost	13	A	418, 424, 430
3	2	to basel	392	A	32, 323, 423
3	2	to montreux	145	A	251, 335, 395
3	2	try to	247	A	108, 333, 354
3	2	wait ,	143	A	99, 168, 241
3	2	we should	119	A	247, 264, 365
3	2	we will	299	A	186, 450, 484
3	2	what ?	122	A	3, 45, 124
3	2	yeah ,	326	A	130, 403, 455
2	2	, so	400	A	10, 409
2	2	, then	152	A	28, 179
2	2	, wait	289	A	146, 434
2	2	, yeah	63	A	403, 465
2	2	2 francs	22	A	333, 354
2	2	3 francs	81	A	455, 535
2	2	4 francs	35	A	450, 484
2	2	a circle	39	A	100, 138
2	2	at eight	29	A	186, 214
2	2	before we	35	A	208, 242
2	2	bob .	412	A	83, 494
2	2	could do	68	A	114, 181
2	2	did you	368	A	122, 489
2	2	do the	57	A	168, 224
2	2	go .	61	A	74, 134
2	2	here .	293	A	50, 342
2	2	i got	118	A	32, 149
2	2	i want	152	A	100, 251
2	2	interlaken .	15	A	18, 32
2	2	it cost	143	A	313, 455
2	2	luzern ,	8	A	335, 342
2	2	luzern to	120	A	182, 301
2	2	montreux .	87	A	251, 337
2	2	mount interlaken	281	A	100, 380
2	2	mount luzern	47	A	182, 228
2	2	mount zurich	94	A	7, 100
2	2	no i	88	A	21, 108
2	2	now ?	154	A	318, 471
2	2	now i	10	A	149, 158
2	2	okay i	358	A	144, 501
2	2	okay now	41	A	257, 297
2	2	point .	209	A	186, 394
2	2	price 35	44	A	164, 207
2	2	price 50	2	A	164, 165
2	2	so we	247	A	181, 427
2	2	submit ?	59	A	132, 190
2	2	ten mountains	382	A	117, 498
2	2	that 's	105	A	365, 469
2	2	that costs	28	A	450, 477
2	2	then .	90	A	28, 117
2	2	thing .	171	A	54, 224
2	2	to ,	365	A	28, 392
2	2	to davos	331	A	179, 509
2	2	to do	51	A	441, 491
2	2	to submit	83	A	108, 190
2	2	two more	84	A	181, 264
2	2	want to	62	A	190, 251
2	2	we already	53	A	434, 486
2	2	we need	139	A	181, 319
2	2	wo n't	372	A	108, 479
2	2	you can	294	A	226, 519
2	2	zurich to	114	A	100, 213
58	1	to	517	A	7, 16, 28, 32, 48, 54, 60, 100, 108, 126, 144, 177, 179, 182, 188, 190, 211, 213, 235, 251, 254, 259, 261, 276, 278, 282, 296, 297, 301, 307, 308, 319, 323, 333, 335, 339, 354, 357, 368, 380, 392, 395, 417, 423, 429, 433, 434, 436, 441, 450, 453, 473, 475, 486, 491, 501, 509, 523
55	1	okay	540	A	0, 25, 30, 76, 96, 98, 99, 111, 126, 135, 141, 144, 161, 166, 192, 195, 201, 211, 220, 221, 222, 239, 245, 257, 271, 274, 284, 290, 297, 315, 335, 357, 364, 370, 373, 378, 390, 397, 405, 409, 417, 420, 429, 453, 456, 469, 471, 475, 491, 501, 509, 510, 522, 538, 539
51	1	i	495	A	10, 21, 32, 41, 43, 47, 54, 59, 60, 81, 90, 100, 106, 108, 109, 114, 117, 122, 130, 138, 144, 146, 149, 158, 168, 170, 171, 179, 181, 203, 241, 247, 251, 257, 264, 277, 278, 282, 284, 318, 335, 337, 339, 343, 345, 347, 359, 407, 421, 501, 504
46	1	we	451	A	82, 93, 114, 163, 164, 165, 181, 186, 200, 204, 207, 208, 214, 242, 247, 254, 264, 288, 307, 319, 359, 361, 365, 367, 371, 394, 398, 400, 407, 427, 434, 441, 446, 450, 461, 471, 473, 479, 484, 486, 498, 505, 511, 517, 526, 532
26	1	wait	493	A	35, 40, 45, 47, 62, 67, 99, 124, 141, 146, 154, 168, 170, 175, 204, 218, 241, 259, 271, 284, 434, 445, 502, 516, 522, 527
25	1	do	410	A	82, 90, 106, 109, 114, 138, 144, 146, 168, 181, 224, 257, 264, 282, 318, 319, 337, 339, 347, 424, 441, 479, 484, 489, 491
25	1	go	457	A	48, 74, 134, 144, 182, 188, 235, 257, 278, 297, 307, 318, 335, 359, 380, 392, 394, 395, 413, 433, 434, 450, 453, 475, 504
24	1	at	370	A	163, 164, 186, 214, 284, 367, 371, 379, 394, 398, 400, 413, 427, 446, 450, 461, 471, 498, 505, 511, 517, 519, 526, 532
24	1	it	510	A	14, 32, 83, 85, 90, 91, 130, 179, 181, 233, 249, 313, 319, 339, 349, 411, 431, 447, 455, 479, 501, 504, 519, 523
19	1	and	471	A	14, 33, 50, 59, 93, 100, 106, 117, 130, 171, 182, 216, 226, 261, 319, 367, 403, 450, 484
