team_no,attempt_no,turn_no,start,end,subject,verb,object
47,1,1,0.174,0.174,R,shows,observe gesture
47,1,1,0.247,0.247,R,says,"so, ann and bob, let's start building the tracks. i count on you guys. are you ready? also, you need to play this game together, as both of you will see different views at all times. you can talk now to help each other. to see my instructions again, check the information icon on your screens. time to play. let's go!"
47,1,1,40.321,42.448,B,says,um okay so .
47,1,1,41.430,42.628,A,says,okay so .
47,1,1,43.736,48.140,B,says,i'm going from mount montreux to mount interlaken .
47,1,1,48.709,50.836,A,says,"to mount what , what wait mount ?"
47,1,1,50.866,56.922,I,says,"so maybe you would like to see the instruction sheet once both of you , the this i button ."
47,1,1,53.636,53.636,R,shows,thinking gesture
47,1,1,53.640,53.640,R,says,"hmm, i see."
47,1,1,54.023,54.023,B,presses,help (enabled)
47,1,1,55.120,56.558,R,says,i see .
47,1,1,55.296,55.296,A,presses,help (enabled)
47,1,1,56.922,59.108,I,says,"ann , can you press this button ?"
47,1,1,57.071,58.090,A,says,um
47,1,1,58.606,58.606,B,presses,help (enabled)
47,1,1,59.108,64.680,I,says,"yeah , so at the top it tells you something , like your view and your friends' view ."
47,1,1,63.840,63.840,B,presses,help (enabled)
47,1,1,64.419,65.648,B,says,oh that's cool .
47,1,1,66.426,71.579,I,says,"so , in the white view you can build the roads , but in the black view you can not ."
47,1,1,71.579,77.309,I,says,"but you can see what your friends is doing , and how much money your friend is spending while building a road ."
47,1,1,77.309,83.010,I,says,"so you both will like alternate between these two views , and you have to build the roads together ."
47,1,1,77.378,78.546,A,says,uh
47,1,1,77.956,77.956,B,presses,help (enabled)
47,1,1,79.473,79.473,B,presses,help (enabled)
47,1,1,81.056,81.056,B,presses,help (enabled)
47,1,1,82.725,83.804,A,says,okay .
47,1,1,83.010,84.298,I,says,okay .
47,1,1,85.062,87.638,A,says,i kind of get it if i have question can i ask you ?
47,1,1,85.673,85.673,B,presses,help (enabled)
47,1,1,87.125,87.125,B,presses,help (enabled)
47,1,1,87.998,94.567,I,says,"uh yeah sure , uh and actually like when you guys build something together and you submit it the robot will give you feedback ."
47,1,1,94.867,95.556,A,says,okay .
47,1,1,94.986,95.735,I,says,okay .
47,1,1,97.344,98.123,A,says,okay .
47,1,1,98.623,98.623,R,shows,observe gesture
47,1,1,106.359,108.217,A,says,so where are you building ?
47,1,1,109.475,114.247,I,says,"so in this view you can not build , you just see what bob will build ."
47,1,1,111.739,111.739,B,presses,help (enabled)
47,1,1,113.288,113.857,A,says,um
47,1,1,114.289,114.289,B,presses,help (enabled)
47,1,1,116.314,120.598,I,says,"and the it will be your turn to build , so first she builds and then you will build ."
47,1,1,118.089,118.089,B,presses,submit (disabled)
47,1,1,118.210,118.210,A,adds,Zermatt-Davos (4-9)
47,1,1,119.526,123.001,A,says,i go from mount zermatt to mount davos .
47,1,1,120.724,123.600,B,says,oh okay it's your turn then .
47,1,1,123.600,126.416,A,says,and now your turn you can .
47,1,1,125.277,129.311,I,says,oh no you you keep on doing until the screen doesn't change .
47,1,1,128.526,130.653,A,says,"oh , um"
47,1,1,133.139,135.625,A,says,um just
47,1,1,136.374,141.095,A,says,so we need to collect connect all of them together using the less the least money ?
47,1,1,141.544,142.353,I,says,yeah .
47,1,1,142.113,142.862,A,says,okay .
47,1,1,143.805,143.805,A,adds,Gallen-Davos (8-9)
47,1,1,150.529,151.518,A,says,okay .
47,1,2,153.839,153.839,B,adds,Zurich-Gallen (2-8)
47,1,2,157.060,157.060,B,adds,Luzern-Zurich (1-2)
47,1,3,159.109,159.109,A,adds,Luzern-Bern (1-3)
47,1,3,164.206,164.206,A,adds,Basel-Bern (0-3)
47,1,4,170.626,170.626,B,adds,Basel-Neuchatel (0-7)
47,1,4,172.536,172.536,B,adds,Interlaken-Neuchatel (5-7)
47,1,5,173.566,173.566,A,adds,Interlaken-Montreux (5-6)
47,1,5,177.183,177.183,R,shows,observe gesture
47,1,5,177.576,183.095,R,says,"guys , do not hesitate to submit your solution ."
47,1,5,183.095,187.431,R,says,you can submit it as many times you want .
47,1,5,186.476,186.476,A,presses,help (enabled)
47,1,5,186.563,187.285,B,says,three
47,1,5,187.799,188.255,B,says,two
47,1,5,188.750,189.263,A,says,one .
47,1,5,188.750,189.206,B,says,one .
47,1,5,189.929,193.616,I,says,"it's the green check , ann , it's at the top of the screen ."
47,1,5,190.655,190.655,B,presses,submit (enabled)
47,1,5,191.429,194.016,A,says,"oh green , green check oh wait ."
47,1,5,191.508,191.508,A,presses,submit (enabled)
47,1,5,191.582,191.582,T,submits,cost=27 (opt_cost=22)
47,1,5,195.115,195.115,R,shows,talking emotion
47,1,5,195.118,195.118,R,shows,up_left gesture
47,1,5,195.205,195.205,R,says,you are not that far from the minimum; the difference is only 5 francs. i am sure you can do it.
47,1,5,195.747,201.647,R,says,"you are not that far from the minimum , the difference is only 5 francs ."
47,1,5,201.647,204.290,R,says,i am sure you can do it .
47,1,5,204.061,204.061,R,shows,talking emotion
47,1,5,204.061,204.061,R,shows,point_front gesture
47,1,5,204.064,204.064,R,says,"by the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions."
47,1,5,204.687,214.463,R,says,by the way you guys now also have a button on the bottom of the screen in the abstract view for comparing solutions .
47,1,5,216.135,216.990,A,says,okay .
47,1,5,217.181,220.186,I,says,"it's that big green button , if you press that you see your previous solution ."
47,2,5,218.522,218.522,B,presses,compare (enabled)
47,2,5,220.357,221.289,B,says,oh okay .
47,2,5,221.479,222.164,A,says,okay .
47,2,5,223.628,225.188,A,says,i'll build first .
47,2,5,225.742,225.742,A,adds,Luzern-Zermatt (1-4)
47,2,5,228.708,230.591,A,says,why are we 5 francs away ?
47,2,5,233.216,234.167,A,says,um
47,2,5,234.222,234.222,A,adds,Luzern-Bern (1-3)
47,2,5,237.020,239.606,A,says,i think short distances will make less money .
47,2,6,243.004,243.004,B,adds,Zurich-Bern (2-3)
47,2,6,245.748,245.748,B,adds,Basel-Zurich (0-2)
47,2,7,250.301,250.301,A,adds,Basel-Neuchatel (0-7)
47,2,7,256.365,256.365,A,adds,Montreux-Neuchatel (6-7)
47,2,8,264.521,264.521,B,adds,Zermatt-Montreux (4-6)
47,2,8,266.050,266.050,B,adds,Interlaken-Montreux (5-6)
47,2,9,269.601,269.601,A,adds,Zermatt-Davos (4-9)
47,2,9,274.750,274.750,A,adds,Gallen-Davos (8-9)
47,2,10,278.813,278.813,R,shows,observe gesture
47,2,10,280.756,280.756,A,presses,submit (enabled)
47,2,10,281.203,283.257,A,says,"okay , let's click it ."
47,2,10,283.637,283.637,B,adds,Zurich-Gallen (2-8)
47,2,10,284.094,286.718,A,says,"go , oh oh gosh , waiting for ."
47,2,10,289.098,289.098,B,adds,Interlaken-Bern (5-3)
47,2,10,293.818,295.986,A,says,hello robot .
47,2,11,294.291,294.291,B,presses,submit (enabled)
47,2,11,301.616,306.861,I,says,"so you both have to submit , like , one of you has pressed the button but the other hasn't yet ."
47,2,11,306.670,308.458,A,says,okay come on let's press it together .
47,2,11,308.192,309.447,B,says,i do that i already pressed it .
47,2,11,308.321,308.321,A,presses,submit (enabled)
47,2,11,308.391,308.391,T,submits,cost=38 (opt_cost=22)
47,2,11,309.599,310.094,A,says,three .
47,2,11,310.094,310.855,B,says,two .
47,2,11,310.969,311.539,A,says,one .
