B	so , are we trying to make this shortest , or the less tight the little things ?
B	okay ready ?
B	so which one should we start ?
B	wait did you just do that ?
A	yes .
B	okay i 'm gon na do something right .
B	i drag .
B	how do you do it ?
A	you drag it .
B	hold and drag .
A	yes .
B	it 's not working for me .
B	wait how do you do it ?
A	um like , wait what ?
A	so you hold it , so you you have to go to where and did it and hold it to somewhere .
A	and then you have it .
B	oh there we go .
B	i was at something else okay .
A	good .
B	okay i just made something .
A	oh wait .
B	so i think we are trying to make
B	oh what ?
B	we 're trying to make the less
B	um
B	things used .
A	yeah probably .
B	why is mine this weird , why is mine here ?
B	oh there , i 'm doomed .
B	how do i make it ?
A	okay .
B	why did you do i see here ?
B	okay .
B	this does not
A	yes , but
A	um
B	yeah , kinda .
A	kinda , not really , why ?
A	oh , i 'm back .
B	no .
B	we are not submitting our answers right now , sorry .
A	no , we are not done .
B	oh , why i 'm on this .
B	okay i 'll tap .
A	no .
B	oh .
B	what happened ?
B	why is it not doing ?
A	because we already have 9 out of 10 .
B	oh my gosh i ca n't go .
B	what am i supposed
B	here ?
B	here .
B	abstract view .
B	your friend 's view .
B	interactive view .
A	look .
A	it says right here .
A	says like , the interactive view into the abstract view .
A	and then it has abstract view and then it says what it does .
B	oh yeah this
B	view you can not build
B	oh !
B	oh oops .
B	okay , now i get it , oh yeah i 'm here .
B	okay .
A	wait what ?
B	so we need to i 'm erasing these .
B	i 'm sorry .
A	yeah .
A	yeah i 'll erase it .
B	and we just start again .
A	um i do n't know .
B	uh
A	so we will erase all of them entirely ?
B	yeah .
A	right now i want to erase .
B	i 'm at the black right now so got to chill .
B	chill .
A	how do you erase ?
B	you just hold it .
B	and you get the like the little erase thingy .
B	wait i ca n't do anything until it stops ?
B	like when she oh so when she do something it stops for me ?
B	oh , seriously ?
B	she sees not what i see ?
B	wait it 's not erasing for other .
B	oh that explains everything .
A	it does .
B	wait so her mountains are not the same ?
B	okay .
A	okay .
B	what ?
A	oh , so like when i have this you have this when i have this you have this ?
B	oh .
B	so when i have the mountains you have the black .
A	exactly .
B	when you have the mountains i have the black .
A	oh , okay .
B	that 's why we have to talk , okay .
B	now we get it .
A	i think i 'm gon na put um , mount zermatt to the one above it .
B	mount zurich ?
A	no like
B	mount luzern to mount zurich ?
B	oh .
A	no mount zermatt to the one above it .
B	yeah , to mount luzern .
A	luzern .
B	luzern yeah okay do it .
A	yeah .
A	wait no .
A	okay .
B	we should do all the big things .
B	are you done ?
A	yeah .
B	okay .
B	not working for me so .
A	i 'm gon na do mount zurich to mount davos .
B	mount
B	zurich where is zurich ?
A	it 's the one above mount luzern , i do n't know how to say it .
B	that 's zurich , mount zurich .
A	it is ?
