team_no	utterance_no	start	end	interlocutor	utterance
28	0	40.000	41.161	A	okay , so
28	1	40.580	45.036	B	so we have to connect all the places with tracks , with the least amount of money wasted .
28	2	45.752	46.342	B	okay
28	3	48.027	48.897	A	okay so
28	4	49.136	49.894	A	i think
28	5	51.312	55.941	A	just go , from mount saint gallen , to mount zurich .
28	6	57.159	57.968	B	okay .
28	7	58.431	59.750	B	how do i get off this screen ?
28	8	69.405	70.078	B	oh
28	9	74.081	75.612	B	okay , so i have to tell him .
28	10	76.686	77.360	A	yeah tell me .
28	11	77.767	78.399	B	um
28	12	78.581	82.365	A	i think uh just , from mount zurich to saint gallen .
28	13	83.362	84.457	B	i ca n't see anything .
28	14	84.970	85.587	A	what ?
28	15	85.812	87.076	B	let me just check .
28	16	89.325	91.627	A	i think we go to mount zurich to saint gallen .
28	17	93.448	94.178	A	and then
28	18	94.711	95.975	A	from uh
28	19	97.632	99.303	A	mount zurich to mount bern .
28	20	101.085	102.447	B	uh now i 'm on this screen .
28	21	102.723	107.721	A	yeah , and then you you build , uh mount bern to mount basel .
28	22	103.312	103.832	B	oh
28	23	108.042	110.045	B	okay mount , bern
28	24	110.494	111.196	A	to basel .
28	25	112.352	113.686	B	how much how much did that cost ?
28	26	113.812	114.135	A	3 .
28	27	114.571	115.048	B	3 ?
28	28	114.866	119.003	A	and then uh go from uh mount bern to luzern .
28	29	121.020	121.750	B	to what ?
28	30	121.834	122.663	A	luzern .
28	31	122.873	123.168	B	that
28	32	126.517	127.710	B	mount basel
28	33	129.577	130.349	A	mount basel
28	34	129.815	132.132	B	to uh mount luzern mount bern to
28	35	131.486	133.185	A	mount bern to luzern
28	36	132.368	132.789	B	yeah
28	37	133.155	134.053	B	i did that okay .
28	38	133.778	135.078	A	yeah , then my turn .
28	39	135.200	135.761	B	yeah .
28	40	137.222	138.373	B	okay , so
28	41	138.950	139.455	A	this
28	42	140.157	142.320	A	i 'll build mount luzern to zermatt .
28	43	145.307	146.626	A	okay and saint gallen
28	44	147.144	148.323	A	to mount davos or
28	45	148.756	151.690	A	or luzern to mount davos
28	46	148.826	150.469	B	i think i think we should go um
28	47	151.217	154.095	B	mount basel to mount neuchatel .
28	48	154.393	154.955	A	basel ?
28	49	155.236	156.750	B	mount basel to neuchatel .
28	50	157.447	159.188	B	because i think that cheapest one is it .
28	51	158.739	159.329	A	okay .
28	52	160.014	160.871	B	okay .
28	53	161.582	164.123	B	and then , i think we should go mount neuchatel
28	54	168.332	169.497	B	no but i think just go .
28	55	170.185	171.477	B	which is more expensive ?
28	56	172.287	172.947	A	i do n't know .
28	57	172.525	174.112	B	i think they are both the same .
28	58	174.936	178.438	B	yeah go bern to mount interlaken and then mount interlaken to mount montreux .
28	59	179.279	180.107	A	montreux
28	60	180.346	181.273	B	oh 4 4
28	61	181.315	182.382	A	yeah i know it 's a 4
28	62	181.596	185.019	B	so and then , what 's the quickest way to get to mount davos ?
28	63	185.660	186.306	A	i do n't know .
28	64	185.885	187.200	B	i think from mount luzern .
28	65	187.537	188.464	A	yeah i think .
28	66	188.717	189.643	B	so i think you should do that .
28	67	195.757	196.697	B	okay , submit .
28	68	199.885	200.658	A	we can submit .
28	69	201.276	203.199	B	i submitted , waiting for your friend .
28	70	202.301	203.958	A	okay and uh
28	71	204.795	205.371	B	submit .
28	72	205.862	208.497	A	yeah and then , we can erase and , do again ?
28	73	210.664	211.689	A	okay , so
28	74	212.125	215.424	A	we just erase all , i 'll erase all okay .
28	75	217.537	218.871	A	oh you submitted already ?
28	76	218.843	220.163	B	uh i have to go to mount
28	77	221.233	221.837	A	oh okay
28	78	221.837	225.455	B	okay mount davos submit i submitted , now waiting for your friend .
28	79	226.327	227.267	A	okay .
28	80	234.594	235.310	A	okay .
28	81	245.506	246.742	B	okay . so
28	82	247.242	248.422	A	oh yeah .
28	83	247.762	250.359	B	go in the abstract , oh you in the abstract tell me what to do .
28	84	253.686	254.247	B	okay .
28	85	254.641	255.160	A	from
28	86	255.703	258.035	B	i think we should go uh what
28	87	258.818	261.247	B	okay , i think we should go mount bern to
28	88	261.192	261.753	A	basel ?
28	89	261.852	265.025	B	uh to zurich , basel , interlaken and luzern .
28	90	265.554	266.101	B	first
28	91	266.470	268.323	B	to get like that
28	92	268.492	269.025	A	okay .
28	93	269.981	270.585	B	so
28	94	271.399	272.396	A	uh
28	95	273.543	274.048	B	then
28	96	274.413	275.354	B	um
28	97	276.506	277.489	A	um basel ?
28	98	277.868	278.584	A	to interlaken ?
28	99	281.674	284.368	B	and then you should go mount bern to basel first you can not go .
28	100	284.638	285.396	A	bern to basel ?
28	101	285.382	285.804	B	yeah .
28	102	285.424	285.818	A	yeah .
28	103	286.515	288.410	A	and then uh basel to neuchatel .
28	104	288.635	290.938	B	yeah yeah i see how much , that 's 4 .
